rains,waterlevels63000120,rains63000100,waterlevels63000100,waterlevels,waterlevels_smooth
0.0,236.4,0.0,206.05,83.67,83.67
0.0,236.4,0.0,206.1,83.67,83.67
0.0,236.4,0.0,206.14,83.67,83.66
0.0,236.39,0.0,206.21,83.66,83.66
0.0,236.39,0.0,206.26,83.66,83.66
0.0,236.38,0.0,206.3,83.65,83.66
0.0,236.38,0.0,206.34,83.65,83.65
0.0,236.39,0.0,206.41,83.65,83.65
0.0,236.38,0.0,206.45,83.65,83.65
0.0,236.38,0.0,206.5,83.65,83.64
0.0,236.37,0.0,206.5,83.64,83.64
0.0,236.38,0.0,206.5,83.64,83.63
0.0,236.39,0.0,206.61,83.63,83.63
0.0,236.38,0.0,206.7,83.63,83.62
0.0,236.36,0.0,206.74,83.62,83.62
0.0,236.36,0.0,206.78,83.61,83.62
0.0,236.36,0.0,206.82,83.61,83.61
0.0,236.35,0.0,206.85,83.61,83.61
0.0,236.34,0.0,206.89,83.61,83.61
0.0,236.35,0.0,206.9,83.6,83.6
0.0,236.36,0.0,206.93,83.6,83.6
0.0,236.35,0.0,206.97,83.6,83.59
0.0,236.35,0.0,207.01,83.6,83.59
0.0,236.35,0.0,207.02,83.59,83.59
0.0,236.34,0.0,207.06,83.59,83.59
0.0,236.31,0.0,207.1,83.59,83.59
0.0,236.33,0.0,207.13,83.58,83.58
0.0,236.33,0.0,207.17,83.58,83.58
0.0,236.32,0.0,207.18,83.57,83.58
0.0,236.32,0.0,207.22,83.57,83.57
0.0,236.31,0.0,207.25,83.57,83.57
0.0,236.31,0.0,207.26,83.57,83.56
0.0,236.3,0.0,207.29,83.57,83.56
0.0,236.3,0.0,207.3,83.57,83.55
0.0,236.27,0.0,207.33,83.55,83.55
0.0,236.32,0.0,207.34,83.54,83.54
0.0,236.32,0.0,207.38,83.53,83.54
0.0,236.31,0.0,207.41,83.53,83.53
0.0,236.3,0.0,207.42,83.52,83.53
0.0,236.28,0.0,207.45,83.52,83.52
0.0,236.28,0.0,207.46,83.52,83.52
0.0,236.28,0.0,207.49,83.52,83.51
0.0,236.29,0.0,207.5,83.52,83.51
0.0,236.28,0.0,207.53,83.52,83.5
0.0,236.28,0.0,207.54,83.51,83.5
0.0,236.27,0.0,207.57,83.49,83.5
0.0,236.28,0.0,207.58,83.49,83.5
0.0,236.32,0.0,207.61,83.49,83.49
0.0,236.27,0.0,207.62,83.49,83.49
0.0,236.26,0.0,207.65,83.49,83.49
0.0,236.23,0.0,207.66,83.49,83.49
0.0,236.23,0.0,207.69,83.49,83.49
0.0,236.27,0.0,207.69,83.49,83.49
0.0,236.26,0.0,207.7,83.49,83.49
0.0,236.26,0.0,207.73,83.48,83.49
0.0,236.26,0.0,207.74,83.48,83.49
0.0,236.26,0.0,207.77,83.48,83.49
0.0,236.24,0.0,207.78,83.49,83.49
0.0,236.18,0.0,207.78,83.49,83.48
0.0,236.23,0.0,207.81,83.49,83.48
0.0,236.25,0.0,207.81,83.49,83.48
0.0,236.25,0.0,207.81,83.48,83.48
0.0,236.24,0.0,207.82,83.48,83.47
0.0,236.24,0.0,207.82,83.47,83.47
0.0,236.23,0.0,207.85,83.47,83.46
0.0,236.24,0.0,207.85,83.46,83.46
0.0,236.24,0.0,207.86,83.45,83.46
0.0,236.23,0.0,207.89,83.45,83.45
0.0,236.21,0.0,207.89,83.45,83.45
0.0,236.21,0.0,207.89,83.44,83.44
0.0,236.23,0.0,207.9,83.44,83.44
0.0,236.24,0.0,207.9,83.44,83.43
0.0,236.25,0.0,207.93,83.44,83.43
0.0,236.22,0.0,207.93,83.44,83.43
0.0,236.2,0.0,207.94,83.44,83.43
0.0,236.2,0.0,207.94,83.44,83.44
0.0,236.2,0.0,207.94,83.44,83.44
0.0,236.2,0.0,207.94,83.43,83.44
0.0,236.21,0.0,207.97,83.43,83.45
0.0,236.2,0.0,207.97,83.42,83.45
0.0,236.2,0.0,207.97,83.42,83.45
0.0,236.21,0.0,207.97,83.45,83.45
0.0,236.2,0.0,207.98,83.49,83.45
0.0,236.22,0.0,207.98,83.5,83.45
0.0,236.23,0.0,207.98,83.5,83.46
0.0,236.22,0.0,208.01,83.48,83.48
0.0,236.23,0.0,208.02,83.47,83.49
0.0,236.21,0.0,208.02,83.48,83.51
0.0,236.21,0.0,208.02,83.48,83.53
0.0,236.21,0.0,208.05,83.48,83.54
0.0,236.2,0.0,208.05,83.48,83.56
0.0,236.21,0.0,208.05,83.48,83.57
0.0,236.58,0.5,208.9,83.64,83.59
0.0,236.59,0.0,209.02,83.66,83.6
1.0,236.55,0.0,209.26,83.67,83.62
0.0,236.55,0.0,209.37,83.67,83.63
1.5,236.55,1.0,209.49,83.67,83.65
0.5,236.53,0.0,209.58,83.66,83.66
0.0,236.55,1.5,209.69,83.66,83.67
0.0,236.53,1.5,209.78,83.66,83.68
1.0,236.53,0.5,209.86,83.66,83.69
0.5,236.53,0.5,209.97,83.66,83.69
0.5,236.53,0.0,210.06,83.67,83.69
0.5,236.5,0.5,210.17,83.68,83.69
2.0,236.52,1.5,210.25,83.7,83.69
1.0,236.53,1.5,210.34,83.7,83.7
0.5,236.51,0.0,210.42,83.71,83.7
0.0,236.51,0.0,210.53,83.71,83.7
0.0,236.52,0.0,210.61,83.72,83.71
0.0,236.52,2.0,210.69,83.72,83.71
0.0,236.51,0.0,210.78,83.72,83.72
0.0,236.52,0.5,210.86,83.72,83.72
0.0,236.47,0.0,210.94,83.72,83.72
0.0,236.5,0.0,211.01,83.71,83.73
3.5,236.5,2.5,211.09,83.72,83.73
2.0,236.5,3.0,211.17,83.72,83.73
0.0,236.5,0.0,211.25,83.72,83.74
0.5,236.49,0.0,211.3,83.74,83.74
0.0,236.49,0.5,211.38,83.75,83.74
0.5,236.5,0.5,211.46,83.75,83.75
0.0,236.51,0.0,211.53,83.75,83.75
0.0,236.5,0.0,211.61,83.75,83.76
0.0,236.49,0.0,211.69,83.76,83.76
0.0,236.49,0.0,211.74,83.77,83.76
0.0,236.48,0.0,211.82,83.77,83.76
0.0,236.48,0.0,211.89,83.76,83.76
0.0,236.49,0.0,211.97,83.76,83.76
0.0,236.47,0.0,212.02,83.76,83.75
0.0,236.48,0.0,212.1,83.75,83.75
0.0,236.45,0.0,212.17,83.75,83.74
0.0,236.46,0.0,212.22,83.74,83.74
0.0,236.46,0.0,212.29,83.74,83.73
0.0,236.45,0.0,212.34,83.72,83.73
0.0,236.45,0.0,212.41,83.72,83.72
0.0,236.44,0.0,212.46,83.71,83.71
0.0,236.43,0.0,212.53,83.71,83.71
0.0,236.43,0.0,212.57,83.7,83.7
0.0,236.4,0.0,212.62,83.7,83.7
0.0,236.43,0.0,212.66,83.69,83.69
0.0,236.41,0.0,212.7,83.69,83.67
0.0,236.42,0.0,212.74,83.68,83.66
0.0,236.41,0.0,212.78,83.68,83.65
0.0,236.4,0.0,212.85,83.67,83.65
0.0,236.4,0.0,212.89,83.67,83.66
0.0,236.39,0.0,212.9,83.67,83.67
0.0,236.39,0.0,212.94,83.67,83.68
0.0,236.39,0.0,212.98,83.66,83.7
0.0,236.38,0.0,213.02,83.66,83.72
0.0,236.37,0.0,213.05,83.65,83.74
0.0,236.34,0.0,213.25,83.64,83.76
0.0,236.33,0.0,213.3,83.63,83.78
1.0,236.66,1.0,213.73,83.89,83.8
5.0,236.67,0.5,213.86,83.9,83.82
0.0,236.66,0.0,214.01,83.92,83.84
0.5,236.65,0.5,214.14,83.92,83.85
0.0,236.65,0.0,214.29,83.91,83.86
0.0,236.62,0.0,214.41,83.9,83.85
0.0,236.62,0.0,214.53,83.88,83.85
0.0,236.61,0.0,214.62,83.87,83.86
0.0,236.58,0.0,214.74,83.86,83.87
0.0,236.57,0.0,214.82,83.85,83.88
0.0,236.57,0.0,214.93,83.84,83.89
0.0,236.55,0.0,215.02,83.83,83.89
0.0,236.54,0.0,215.13,83.81,83.91
0.0,236.53,0.0,215.21,83.81,83.93
5.0,236.53,3.0,215.29,83.81,83.95
7.0,236.53,14.0,215.38,83.85,83.97
4.0,236.57,0.5,215.49,84.02,83.99
0.0,236.63,0.0,215.61,84.19,84.01
0.0,236.65,0.0,215.73,84.18,84.03
0.0,236.64,0.0,215.86,84.14,84.04
0.0,236.63,0.0,216.01,84.1,84.05
0.0,236.6,0.0,216.13,84.07,84.05
0.0,236.62,0.0,216.25,84.04,84.05
0.0,236.61,0.0,216.34,84.0,84.04
0.0,236.59,0.0,216.46,83.99,84.02
0.0,236.58,0.0,216.57,83.97,84.0
0.0,236.57,0.0,216.66,83.95,83.97
0.0,236.55,0.0,216.74,83.93,83.93
0.0,236.55,0.0,216.85,83.92,83.91
0.0,236.54,0.0,216.93,83.9,83.89
0.0,236.53,0.0,217.01,83.89,83.88
0.0,236.54,0.0,217.06,83.87,83.87
0.0,236.53,0.0,217.14,83.86,83.86
0.0,236.51,0.0,217.21,83.85,83.85
0.0,236.52,0.0,217.26,83.84,83.84
0.0,236.51,0.0,217.34,83.83,83.83
0.0,236.5,0.0,217.41,83.82,83.82
0.0,236.49,0.0,217.46,83.81,83.81
0.0,236.48,0.0,217.53,83.81,83.8
0.0,236.47,0.5,217.57,83.8,83.79
0.5,236.46,1.0,217.62,83.79,83.79
0.0,236.46,0.5,217.66,83.79,83.78
0.0,236.46,0.0,217.73,83.78,83.78
0.0,236.44,0.0,217.77,83.77,83.77
0.0,236.44,0.0,217.81,83.77,83.77
0.0,236.43,0.0,217.86,83.76,83.76
0.0,236.41,0.0,217.9,83.76,83.76
0.0,236.43,0.0,217.94,83.76,83.75
0.0,236.42,0.0,217.98,83.75,83.75
0.0,236.42,0.0,218.01,83.74,83.74
0.0,236.41,0.0,218.05,83.74,83.74
0.0,236.4,0.0,218.09,83.74,83.73
0.0,236.39,0.0,218.1,83.74,83.73
0.0,236.39,0.0,218.14,83.73,83.73
0.0,236.38,0.0,218.17,83.72,83.72
0.0,236.38,0.0,218.18,83.72,83.72
0.0,236.38,0.0,218.22,83.72,83.72
0.0,236.38,0.0,218.25,83.71,83.71
0.0,236.38,0.0,218.26,83.71,83.71
0.0,236.37,0.0,218.29,83.71,83.71
0.0,236.37,0.0,218.33,83.71,83.7
0.0,236.35,0.0,218.34,83.7,83.7
0.0,236.35,0.0,218.37,83.7,83.7
0.0,236.34,0.0,218.38,83.7,83.69
0.0,236.33,0.0,218.41,83.69,83.69
0.0,236.33,0.0,218.42,83.69,83.69
0.0,236.33,0.0,218.45,83.69,83.69
0.0,236.32,0.0,218.46,83.68,83.68
0.0,236.33,0.0,218.49,83.68,83.68
0.0,236.33,0.0,218.5,83.68,83.68
0.0,236.29,0.0,218.53,83.68,83.67
0.0,236.34,0.0,218.54,83.67,83.67
0.0,236.32,0.0,218.57,83.67,83.67
0.5,236.32,0.0,218.57,83.67,83.66
0.0,236.29,0.0,218.58,83.66,83.66
0.0,236.31,0.0,218.58,83.66,83.66
0.0,236.3,0.0,218.61,83.65,83.66
0.0,236.29,0.0,218.61,83.65,83.65
0.0,236.29,0.0,218.62,83.65,83.65
0.0,236.29,0.0,218.62,83.65,83.65
0.0,236.3,0.0,218.65,83.65,83.65
0.0,236.29,0.0,218.65,83.65,83.65
0.0,236.31,0.0,218.65,83.65,83.65
0.0,236.31,0.0,218.66,83.65,83.64
0.0,236.29,0.0,218.69,83.65,83.64
0.0,236.24,0.0,218.69,83.64,83.64
0.0,236.28,0.0,218.7,83.64,83.64
0.0,236.27,0.0,218.7,83.64,83.64
0.0,236.27,0.0,218.73,83.63,83.63
0.0,236.27,0.0,218.73,83.63,83.63
0.0,236.27,0.0,218.74,83.63,83.63
0.0,236.26,0.0,218.74,83.63,83.63
