temperature,humidity,windpower,rains,waterlevels63000120,rains63000100,waterlevels63000100,waterlevels
13.0,71.0,2.0,0.0,236.27,0.0,205.1,83.54
13.0,71.0,2.0,0.0,236.31,0.0,205.13,83.54
12.0,61.0,2.0,0.0,236.27,0.0,205.14,83.54
12.0,52.0,2.0,0.0,236.27,0.0,205.17,83.54
9.0,94.0,2.0,0.0,236.27,0.0,205.18,83.54
10.0,85.0,1.0,0.5,236.25,1.5,205.21,83.54
9.0,97.0,1.0,2.0,236.26,2.0,205.21,83.54
9.0,99.0,1.0,0.5,236.26,1.0,205.22,83.54
9.0,100.0,1.0,0.5,236.27,1.0,205.25,83.54
9.0,100.0,1.0,1.5,236.27,1.5,205.26,83.54
8.0,100.0,1.0,3.0,236.27,2.5,205.3,83.55
9.0,100.0,1.0,1.0,236.27,1.5,205.33,83.57
9.0,100.0,1.0,1.0,236.27,1.0,205.37,83.58
9.0,100.0,1.0,0.5,236.31,0.0,205.38,83.6
9.0,100.0,1.0,0.0,236.33,0.0,205.42,83.62
10.0,100.0,1.0,0.0,236.34,0.5,205.46,83.64
11.0,98.0,2.0,0.5,236.38,0.5,205.5,83.65
11.0,98.0,1.0,1.0,236.39,1.5,205.54,83.65
13.0,97.0,2.0,1.0,236.38,0.5,205.61,83.65
13.0,91.0,2.0,0.0,236.39,0.0,205.65,83.65
13.0,91.0,2.0,0.0,236.39,0.0,205.7,83.66
14.0,90.0,1.0,0.0,236.39,0.0,205.74,83.66
13.0,90.0,1.0,0.0,236.41,0.0,205.81,83.67
13.0,93.0,2.0,0.0,236.4,0.0,205.86,83.67
13.0,96.0,2.0,0.0,236.4,0.0,205.93,83.67
12.0,97.0,1.0,0.0,236.4,0.0,205.98,83.67
12.0,97.0,1.0,0.0,236.4,0.0,206.05,83.67
12.0,97.0,2.0,0.0,236.4,0.0,206.1,83.67
11.0,67.0,2.0,0.0,236.4,0.0,206.14,83.67
12.0,100.0,1.0,0.0,236.39,0.0,206.21,83.66
12.0,98.0,1.0,0.0,236.39,0.0,206.26,83.66
12.0,89.0,2.0,0.0,236.38,0.0,206.3,83.65
12.0,83.0,3.0,0.0,236.38,0.0,206.34,83.65
12.0,85.0,1.0,0.0,236.39,0.0,206.41,83.65
12.0,89.0,1.0,0.0,236.38,0.0,206.45,83.65
11.0,97.0,1.0,0.0,236.38,0.0,206.5,83.65
11.0,98.0,2.0,0.0,236.37,0.0,206.5,83.64
11.0,92.0,2.0,0.0,236.38,0.0,206.5,83.64
11.0,86.0,1.0,0.0,236.39,0.0,206.61,83.63
14.0,71.0,2.0,0.0,236.38,0.0,206.7,83.63
15.0,68.0,3.0,0.0,236.36,0.0,206.74,83.62
17.0,64.0,2.0,0.0,236.36,0.0,206.78,83.61
18.0,56.0,2.0,0.0,236.36,0.0,206.82,83.61
17.0,57.0,3.0,0.0,236.35,0.0,206.85,83.61
16.0,58.0,3.0,0.0,236.34,0.0,206.89,83.61
14.0,63.0,3.0,0.0,236.35,0.0,206.9,83.6
13.0,68.0,3.0,0.0,236.36,0.0,206.93,83.6
12.0,72.0,3.0,0.0,236.35,0.0,206.97,83.6
11.0,73.0,3.0,0.0,236.35,0.0,207.01,83.6
11.0,78.0,2.0,0.0,236.35,0.0,207.02,83.59
11.0,79.0,2.0,0.0,236.34,0.0,207.06,83.59
12.0,99.0,1.0,0.0,236.31,0.0,207.1,83.59
10.0,87.0,1.0,0.0,236.33,0.0,207.13,83.58
10.0,87.0,1.0,0.0,236.33,0.0,207.17,83.58
10.0,87.0,1.0,0.0,236.32,0.0,207.18,83.57
10.0,89.0,1.0,0.0,236.32,0.0,207.22,83.57
10.0,90.0,1.0,0.0,236.31,0.0,207.25,83.57
10.0,87.0,1.0,0.0,236.31,0.0,207.26,83.57
10.0,87.0,1.0,0.0,236.3,0.0,207.29,83.57
10.0,89.0,1.0,0.0,236.3,0.0,207.3,83.57
11.0,87.0,2.0,0.0,236.27,0.0,207.33,83.55
11.0,84.0,1.0,0.0,236.32,0.0,207.34,83.54
13.0,80.0,2.0,0.0,236.32,0.0,207.38,83.53
13.0,66.0,1.0,0.0,236.31,0.0,207.41,83.53
15.0,61.0,1.0,0.0,236.3,0.0,207.42,83.52
16.0,53.0,2.0,0.0,236.28,0.0,207.45,83.52
17.0,55.0,2.0,0.0,236.28,0.0,207.46,83.52
